																																		Class	blank	chow	chow	chow	chow	chow	chow	chow	chow	fishoil	fishoil	fishoil	fishoil	fishoil	fishoil	fishoil	fishoil	iQC	iQC	iQC	ISTD	lard	lard	lard	lard	lard	lard	lard	lard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																																		File type	Blank	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	QC	QC	QC	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																																		Injection order	22	18	10	19	23	20	7	4	14	6	26	2	11	24	27	3	16	1	15	29	12	13	21	25	9	5	17	28	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																																		Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Average	Average	Average	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	RT similarity	m/z similarity	Simple dot product	Weighted dot product	Reverse dot product	Matched peaks count	Matched peaks percentage	Total score	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	blank_pos	chow_1_pos	chow_13_pos	chow_2_pos	chow_3_pos	chow_4_pos	chow_5_pos	chow_6_pos	chow_7_pos	fishoil_11_pos	fishoil_12_pos	fishoil_13_pos	fishoil_14_pos	fishoil_15_pos	fishoil_5_pos	fishoil_8_pos	fishoil_9_pos	iQC_1_pos	iQC_2_pos	iQC_3_pos	ISTD_pos	lard_1_pos	lard_11_pos	lard_12_pos	lard_13_pos	lard_14_pos	lard_15_pos	lard_6_pos	lard_7_pos	blank	chow	fishoil	iQC	ISTD	lard	blank	chow	fishoil	iQC	ISTD	lard
101	1.595	272.25861	NAE 14:0	[M+H]+	null	0.97	True	6.131	272.25839	C16H33NO2	NAE	JHIXEZNTXMFXEK-UHFFFAOYSA-N	O=C(NCCO)CCCCCCCCCCCCC	410	False	True	True	Normalized unit: NormalizedByInternalStandardPeakHeight; Annotation method: Msp20250929174203_NCDK_conventional_converted_dev_1; Tag: Confirmed	False	False	101	0	0.00	1.00	0.604	0.541	0.866	1.00	2.00	2.402	341.48	fishoil_13_pos	272.25870:4392970 273.26337:667320 274.26803:46466600	100.08340:54419 118.09184:14121 119.12675:5898 210.07045:16648 212.23750:11820 250.89227:5467 254.24825:2209022 272.25906:1329593	1774090.43032435	44636985.4950201	41604339.7381306	35203892.875917	43455159.336317	31008329.5140139	47511289.9375538	39847410.5874548	38161560.0585222	50129914.6844671	38168953.4507509	48133052.9998766	52847383.6474767	31503366.9924037	33932753.1174165	44438613.8554621	37694526.2269265	38626890.7700695	41301372.3893982	38626890.3271335	60533840.4321104	37043441.7907265	44404416.321121	34927883.308464	45944264.4599473	44081761.5574343	44763416.5148887	40136039.812352	42310956.3153315	1774090.43032435	40178620.9428662	42106070.6218475	39518384.4955338	60533840.4321104	41701522.5100331	0	5337653.65965954	7889470.49125699	1544112.81072677	0	3977602.95166598
127	2.059	300.28973	NAE 16:0	[M+H]+	null	0.97	True	6.797	300.28970	C18H37NO2	NAE	HXYVTAGFYLMHSO-UHFFFAOYSA-N	O=C(NCCO)CCCCCCCCCCCCCCC	410	False	True	True	Normalized unit: NormalizedByInternalStandardPeakHeight; Annotation method: Msp20250929174203_NCDK_conventional_converted_dev_1; Tag: Confirmed	False	False	127	0	0.00	1.00	0.619	0.547	0.866	1.00	2.00	2.407	104.02	chow_7_pos	300.28970:1966423 301.29437:381702 302.29904:4554148	100.08224:19812 282.27936:820010 300.14426:75459 300.29004:596340 300.32315:30637 304.41357:12454	595259.068700059	33815569.0662848	33309827.9079253	34217227.287698	36386686.3737906	32875027.8151292	33968180.8709042	32751626.6962008	32991290.4664219	36649316.9546365	37723671.8800839	38475400.2200968	40175779.6149295	34048821.5853449	38012819.3970262	35126805.3517147	29812849.3501474	35267868.4915459	41191320.9968347	35267867.7963124	48427389.3909139	33309035.5166241	38228108.4967084	20237726.1368734	36582057.9403733	33526075.2549243	34903617.2653661	42435285.8633959	29465075.5358611	595259.068700059	33789429.5605444	36253183.0442475	37242352.428231	48427389.3909139	33585872.7512658	0	1179685.08207226	3236983.31469634	3419907.09915711	0	6609627.65065509
155	2.920	328.32092	NAE 18:0	[M+H]+	null	0.97	True	8.234	328.32101	C20H41NO2	NAE	OTGQIQQTPXJQRG-UHFFFAOYSA-N	O=C(NCCO)CCCCCCCCCCCCCCCCC	410	False	True	True	Normalized unit: NormalizedByInternalStandardPeakHeight; Annotation method: Msp20250929174203_NCDK_conventional_converted_dev_1; Tag: Confirmed	False	False	155	0	0.00	1.00	0.670	0.591	0.866	1.00	2.00	2.427	187.67	chow_3_pos	328.32104:1553966 329.32571:329291 330.33038:1100221	100.08343:7196 283.17419:8104 304.41293:18837 310.31033:509471 328.17502:9514 328.32089:450272	106350.059304275	29110248.7648252	27459994.7572392	30157703.4214639	33417260.8123048	25253231.3931576	30810901.4501917	25350139.6652352	27802441.741812	28318709.8593003	32292929.2620947	23046946.8686816	36432596.0904166	30221532.8326798	26959558.910623	28954197.9045295	24094921.2891666	26776952.0175084	28909104.5597337	26776950.9194713	36503017.5872735	25860531.5767051	33035400.7739831	15457615.5999804	31292077.9106583	27574059.2695178	31196713.9721692	32258805.7909594	22882026.7714679	106350.059304275	28670240.2507787	28790174.1271865	27487669.1655711	36503017.5872735	27444653.9581802	0	2788742.02558344	4331860.16997131	1230999.16118324	0	5980276.84674635
168	1.994	340.32114	NAE 19:1	[M+H]+	null	0.17	True	7.239	340.32101	C21H41NO2	NAE	DZYRQNALEUIRMW-UHFFFAOYSA-N	O=C(NCCO)CCCCCCCC=CCCCCCCCCC	410	False	True	True	Normalized unit: NormalizedByInternalStandardPeakHeight; Annotation method: Msp20250929174203_NCDK_conventional_converted_dev_1; Tag: Confirmed	True	False	168	0	0.00	1.00	0.801	0.743	0.866	1.00	2.00	2.488	76.09	lard_7_pos	340.32114:1013877 341.32580:203784 342.33047:44143	116.70512:4949 119.78326:4709 123.12132:26147 123.90469:5235 140.14331:17950 180.93976:5936 207.11418:56505 284.14703:13265 317.80219:5924 340.32095:316722 340.35638:20721 340.39639:16043	113765.089186035	757835.579610475	907445.408685039	1071117.91527357	697767.542493547	2192244.31213228	1611094.57809261	2655493.15362341	4186473.96293139	1076544.29592669	1659248.31680345	2978759.77102791	1353990.55706533	3956132.46841383	14034618.8585021	4001535.54384543	7982484.15458162	1408486.30076595	1669010.45834715	1408486.31576397	700653.574081064	11963351.1763708	1977999.23881432	1053461.32439714	3307589.52356626	2664712.92534797	4902300.45235181	10433381.5679027	13483107.5231432	113765.089186035	1759934.05660529	4630414.2457708	1495327.69162569	700653.574081064	6223237.96648677	0	1209059.31517797	4398803.64739572	150413.688180351	0	4943069.30961908
181	3.172	354.33676	NAE 20:1	[M+H]+	null	0.69	True	7.184	354.33670	C22H43NO2	NAE	YDKRGMXLBRWZJR-UHFFFAOYSA-N	O=C(NCCO)CCCCCCCCCC=CCCCCCCCC	410	False	True	True	Normalized unit: NormalizedByInternalStandardPeakHeight; Annotation method: Msp20250929174203_NCDK_conventional_converted_dev_1; Tag: Confirmed	True	False	181	0	0.00	1.00	0.663	0.586	0.866	1.00	2.00	2.424	66.39	lard_6_pos	354.33679:448348 355.34146:102716 356.34613:362887	121.24149:4834 129.27849:4763 336.32599:160429 354.33679:153691 354.40808:26105	1214275.0300912	8855108.85698695	8523770.11222202	11433286.3971537	9566797.52117722	7876970.77477087	10989905.9266217	7281703.44981265	8641666.78257419	8068774.37454124	12300408.133255	7707907.14448497	10732130.1518969	11095249.2479135	11339025.14464	7721492.39192317	7381768.61488483	7576454.08282701	8748604.72962838	7576454.22238222	11984050.5764485	8535673.38538832	9658285.21532734	4793145.61771345	7395832.91398165	7035361.52845259	8309430.12908206	10097319.3222265	6240911.84278254	1214275.0300912	9146151.22766491	9543344.40044246	7967171.01161253	11984050.5764485	7758244.9943693	0	1445234.28578989	2006497.70495171	676741.451175449	0	1762207.97929535
182	2.095	354.33676	NAE 20:1	[M+H]+	null	0.97	True	7.184	354.33670	C22H43NO2	NAE	YDKRGMXLBRWZJR-UHFFFAOYSA-N	O=C(NCCO)CCCCCCCCCC=CCCCCCCCC	410	False	True	True	Normalized unit: NormalizedByInternalStandardPeakHeight; Annotation method: Msp20250929174203_NCDK_conventional_converted_dev_1; Tag: Confirmed	False	False	182	0	0.00	1.00	0.963	0.845	0.866	1.00	2.00	2.544	133.23	iQC_3_pos	354.33676:905882 355.34143:218613 356.34610:1110594	202.65669:4997 209.15965:14975 209.18411:14694 336.32510:12765 354.33679:601272	314278.896637898	37434168.4451796	37987757.0120326	65371075.873751	41624589.4772433	32994326.2450453	52728572.8706968	39082508.7048902	41960758.768275	42578610.3410469	46455044.7483301	42516821.4112498	23629040.4923973	68104359.8701845	60386042.5048448	36904449.7681855	28925790.86549	34070576.6106186	44259442.240283	34070576.3574282	42618760.1090851	34286208.004516	51696755.7530597	26227357.9106275	30442243.0053322	35899092.7677445	44419827.0959207	51825707.4563674	32319902.1914968	314278.896637898	43647969.6746392	43687520.0002161	37466865.0694432	42618760.1090851	38389636.7731331	0	10462752.5107218	14887882.9978724	5882544.38711343	0	9746320.30272426
